Player Id,Age,Nationality,Over All Draft,Last Name,First Name,Position,Team,GP,Goals,Assists,Points,PlusMinus,PIM,GWG,Status,Salary
8471504,36,CAN,,Bourque,Rene,RW/LW,COL,65,12,6,18,-19,56,2,UFA,650000
8470151,34,CAN,3,Bouwmeester,Jay,D,STL,81,1,14,15,6,28,0,UFA,5600000
8470187,33,CAN,61,Boychuk,Johnny,D,NYI,66,6,17,23,11,19,2,UFA,7000000
8470619,33,USA,26,Boyle,Brian,C/LW,T.B/TOR,75,13,12,25,3,66,2,UFA,2000000
8475098,31,CAN,,Bozak,Tyler,C,TOR,78,18,37,55,-1,30,1,UFA,4500000
8473544,30,CAN,6,Brassard,Derick,C,OTT,81,14,25,39,12,24,3,UFA,5000000
8474027,30,USA,201,Braun,Justin,D,S.J,81,4,9,13,1,28,0,UFA,3800000
8474673,27,CAN,114,Brodie,T.J.,D,CGY,82,6,30,36,-16,24,2,UFA,4838000
8476463,24,SWE,10,Brodin,Jonas,D,MIN,68,3,22,25,5,20,2,UFA,4000000
8470803,33,CAN,214,Brodziak,Kyle,C,STL,69,8,7,15,2,27,2,UFA,1000000
8477380,24,USA,148,Brodzinski,Jonny,C,L.A,6,0,2,2,2,2,0,RFA,925000
8471426,32,CAN,214,Brouwer,Troy,RW,CGY,74,13,12,25,-11,31,2,UFA,4500000
8477015,23,CAN,156,Brown,Connor,RW,TOR,82,20,16,36,3,10,4,RFA,650000
8470606,33,USA,13,Brown,Dustin,RW/LW,L.A,80,14,22,36,-4,22,1,UFA,7000000
8476806,27,USA,,Brown,J.T.,RW,T.B,64,3,3,6,-7,73,1,UFA,1250000
8477887,25,USA,,Brown,Patrick,C,CAR,14,0,0,0,-6,0,0,UFA,650000
8477402,22,RUS,75,Buchnevich,Pavel,RW/LW,NYR,41,8,12,20,6,13,0,RFA,925000
8477444,22,SWE,23,Burakovsky,Andre,LW/C,WSH,64,12,23,35,13,14,1,RFA,832500
8475982,29,USA,,Burgdoerfer,Erik,D,BUF,2,0,0,0,-1,0,0,UFA,575000
8475788,26,RUS,8,Burmistrov,Alex,C/RW,ARI/WPG,49,5,11,16,-7,12,0,RFA,1600000
8470613,32,CAN,20,Burns,Brent,D/RW,S.J,82,29,47,76,19,40,6,UFA,5760000
8470358,36,CAN,,Burrows,Alex,LW/RW,OTT/VAN,75,15,16,31,3,62,2,UFA,3000000
8471761,31,USA,96,Butler,Chris,D,STL,1,0,0,0,0,0,0,UFA,600000
8470834,32,USA,245,Byfuglien,Dustin,D/RW,WPG,80,13,39,52,10,117,1,UFA,8000000
8474038,28,CAN,179,Byron,Paul,LW/C/RW,MTL,81,22,21,43,21,29,6,UFA,1300000
8479465,23,CAN,,Caggiula,Drake,LW/C,EDM,60,7,11,18,3,16,2,RFA,925000
8475296,26,USA,180,Callahan,Mitch,RW,DET,4,0,0,0,0,0,0,UFA,600000
8471339,32,USA,127,Callahan,Ryan,RW,T.B,18,2,2,4,-4,23,1,UFA,6500000
8474685,28,CAN,127,Calvert,Matt,LW,CBJ,65,10,5,15,-4,48,1,UFA,2200000
8469500,35,CAN,49,Cammalleri,Mike,LW/C,N.J,61,10,21,31,-9,21,3,UFA,5000000
8466285,38,CAN,156,Campbell,Brian,D,CHI,80,5,12,17,12,24,1,UFA,1500000
8476219,31,USA,,Cannone,Patrick,C,MIN,3,0,0,0,0,0,0,UFA,600000
8474008,29,USA,135,Carey,Paul,C,WSH,6,0,0,0,-2,0,0,UFA,575000
8470640,33,USA,47,Carle,Matt,D,NSH,6,0,1,1,-1,0,0,,
8478443,21,USA,37,Carlo,Brandon,D,BOS,82,6,10,16,9,59,0,RFA,717500
8474590,27,USA,27,Carlson,John,D,WSH,72,9,28,37,7,10,3,UFA,4000000
8478506,20,SWE,29,Carlsson,Gabriel,D,CBJ,2,0,1,1,-2,0,0,RFA,925000
8477846,26,USA,,Carpenter,Ryan,C,S.J,11,2,2,4,5,4,0,UFA,600000
8477901,26,CAN,,Carr,Daniel,LW,MTL,33,2,7,9,4,6,1,RFA,725000
8476941,23,USA,137,Carrick,Connor,D,TOR,67,2,6,8,8,51,0,RFA,650000
8478851,21,CAN,115,Carrier,Alex,D,NSH,2,0,0,0,1,0,0,RFA,640000
8477478,23,CAN,57,Carrier,William,LW,BUF,41,5,3,8,-1,21,1,RFA,650000
8470604,32,CAN,11,Carter,Jeff,C/RW,L.A,82,32,34,66,2,41,9,UFA,7000000
8476879,24,CAN,15,Ceci,Cody,D,OTT,79,2,15,17,-11,20,0,RFA,2250000
8477417,22,SVK,90,Cehlarik,Peter,LW/RW,BOS,11,0,2,2,0,0,0,RFA,692500
8478469,20,CAN,18,Chabot,Thomas,D,OTT,1,0,0,0,-2,0,0,RFA,925000
8475808,25,CAN,89,Chaput,Michael,C,VAN,68,4,5,9,-12,29,0,RFA,600000
8465009,40,SVK,56,Chara,Zdeno,D,BOS,75,9,19,29,18,59,0,UFA,5000000
8475279,26,CAN,120,Chiarot,Ben,D,WPG,59,2,10,12,2,33,0,RFA,850000
8475163,27,CAN,38,Chiasson,Alex,RW,CGY,81,12,12,24,-6,46,1,RFA,800000
8466251,38,CAN,121,Chimera,Jason,LW/RW,NYI,82,20,13,33,1,40,2,UFA,2000000
8471710,30,USA,36,Chorney,Taylor,D,WSH,18,1,4,5,8,11,1,UFA,775000
